Date,Forecasted_Stock_1
2020-12-31,93.85531666017228
2021-01-01,93.85531666017228
2021-01-02,93.85531666017228
2021-01-03,93.85531666017228
2021-01-04,93.85531666017228
2021-01-05,93.85531666017228
2021-01-06,93.85531666017228
2021-01-07,93.85531666017228
2021-01-08,93.85531666017228
2021-01-09,93.85531666017228
2021-01-10,93.85531666017228
2021-01-11,93.85531666017228
2021-01-12,93.85531666017228
2021-01-13,93.85531666017228
2021-01-14,93.85531666017228
2021-01-15,93.85531666017228
2021-01-16,93.85531666017228
2021-01-17,93.85531666017228
2021-01-18,93.85531666017228
2021-01-19,93.85531666017228
2021-01-20,93.85531666017228
2021-01-21,93.85531666017228
2021-01-22,93.85531666017228
2021-01-23,93.85531666017228
2021-01-24,93.85531666017228
2021-01-25,93.85531666017228
2021-01-26,93.85531666017228
2021-01-27,93.85531666017228
2021-01-28,93.85531666017228
2021-01-29,93.85531666017228
